location,lat,long,alt,year,bloom_date,bloom_doy
liestal,47.4814,7.730519,350,1894,1894-04-16,111
liestal,47.4814,7.730519,350,1895,1895-04-17,112
liestal,47.4814,7.730519,350,1896,1896-04-16,112
liestal,47.4814,7.730519,350,1897,1897-03-27,91
liestal,47.4814,7.730519,350,1898,1898-04-16,111
liestal,47.4814,7.730519,350,1899,1899-04-03,98
liestal,47.4814,7.730519,350,1900,23/04/1900,119
liestal,47.4814,7.730519,350,1901,23/04/1901,118
liestal,47.4814,7.730519,350,1902,12/04/1902,107
liestal,47.4814,7.730519,350,1903,27/03/1903,91
liestal,47.4814,7.730519,350,1904,13/04/1904,109
liestal,47.4814,7.730519,350,1905,12/04/1905,107
liestal,47.4814,7.730519,350,1906,13/04/1906,108
liestal,47.4814,7.730519,350,1907,15/04/1907,110
liestal,47.4814,7.730519,350,1908,28/04/1908,124
liestal,47.4814,7.730519,350,1909,19/04/1909,114
liestal,47.4814,7.730519,350,1910,15/04/1910,110
liestal,47.4814,7.730519,350,1911,17/04/1911,112
liestal,47.4814,7.730519,350,1912,26/03/1912,91
liestal,47.4814,7.730519,350,1913,31/03/1913,95
liestal,47.4814,7.730519,350,1914,9/04/1914,104
liestal,47.4814,7.730519,350,1915,27/04/1915,122
liestal,47.4814,7.730519,350,1916,6/04/1916,102
liestal,47.4814,7.730519,350,1917,4/05/1917,129
liestal,47.4814,7.730519,350,1918,13/04/1918,108
liestal,47.4814,7.730519,350,1919,22/04/1919,117
liestal,47.4814,7.730519,350,1920,30/03/1920,95
liestal,47.4814,7.730519,350,1921,2/04/1921,97
liestal,47.4814,7.730519,350,1922,21/04/1922,116
liestal,47.4814,7.730519,350,1923,8/04/1923,103
liestal,47.4814,7.730519,350,1924,24/04/1924,120
liestal,47.4814,7.730519,350,1925,14/04/1925,109
liestal,47.4814,7.730519,350,1926,9/04/1926,104
liestal,47.4814,7.730519,350,1927,18/04/1927,113
liestal,47.4814,7.730519,350,1928,14/04/1928,110
liestal,47.4814,7.730519,350,1929,2/05/1929,127
liestal,47.4814,7.730519,350,1930,19/04/1930,114
liestal,47.4814,7.730519,350,1931,26/04/1931,121
liestal,47.4814,7.730519,350,1932,29/04/1932,125
liestal,47.4814,7.730519,350,1933,22/04/1933,117
liestal,47.4814,7.730519,350,1934,16/04/1934,111
liestal,47.4814,7.730519,350,1935,16/04/1935,111
liestal,47.4814,7.730519,350,1936,9/04/1936,105
liestal,47.4814,7.730519,350,1937,11/04/1937,106
liestal,47.4814,7.730519,350,1938,1/04/1938,96
liestal,47.4814,7.730519,350,1939,15/04/1939,110
liestal,47.4814,7.730519,350,1940,21/04/1940,117
liestal,47.4814,7.730519,350,1941,26/04/1941,121
liestal,47.4814,7.730519,350,1942,24/04/1942,119
liestal,47.4814,7.730519,350,1943,12/04/1943,107
liestal,47.4814,7.730519,350,1944,18/04/1944,114
liestal,47.4814,7.730519,350,1945,2/04/1945,97
liestal,47.4814,7.730519,350,1946,6/04/1946,101
liestal,47.4814,7.730519,350,1947,17/04/1947,112
liestal,47.4814,7.730519,350,1948,28/03/1948,93
liestal,47.4814,7.730519,350,1949,17/04/1949,112
liestal,47.4814,7.730519,350,1950,10/04/1950,105
liestal,47.4814,7.730519,350,1951,18/04/1951,113
liestal,47.4814,7.730519,350,1952,11/04/1952,107
liestal,47.4814,7.730519,350,1953,6/04/1953,101
liestal,47.4814,7.730519,350,1954,26/04/1954,121
liestal,47.4814,7.730519,350,1955,26/04/1955,121
liestal,47.4814,7.730519,350,1956,27/04/1956,123
liestal,47.4814,7.730519,350,1957,25/03/1957,89
liestal,47.4814,7.730519,350,1958,25/04/1958,120
liestal,47.4814,7.730519,350,1959,2/04/1959,97
liestal,47.4814,7.730519,350,1960,3/04/1960,99
liestal,47.4814,7.730519,350,1961,20/03/1961,84
liestal,47.4814,7.730519,350,1962,25/04/1962,120
liestal,47.4814,7.730519,350,1963,24/04/1963,119
liestal,47.4814,7.730519,350,1964,16/04/1964,112
