location,lat,long,alt,year,bloom_date,bloom_doy,month,meantemp,Jan_max,tmin1,precip1,Feb_max,tmin2,precip2,latdata,longdata,altdata,datasource
liestal,47.4814,7.730519,350,1983,11/04/1983,106,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1984,19/04/1984,115,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1985,16/04/1985,111,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1986,1/05/1986,126,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1987,22/04/1987,117,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1988,17/04/1988,113,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1989,28/03/1989,92,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1990,16/03/1990,80,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1991,4/04/1991,99,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1992,11/04/1992,107,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1993,11/04/1993,106,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1994,23/03/1994,87,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1995,3/04/1995,98,2,NA,NA,NA,NA,NA,NA,NA,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1996,18/04/1996,114,2,0.8,NA,NA,7,NA,NA,27,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1997,22/03/1997,86,2,5.5,NA,NA,30,NA,NA,67,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1998,31/03/1998,95,2,4,NA,NA,53,NA,NA,21,47.6,7.5,270,bale_mulhouse
liestal,47.4814,7.730519,350,1999,4/04/1999,99,2,0.6,NA,NA,50,NA,NA,66,47.6,7.5,270,bale_mulhouse
