location,lat,long,alt,year,bloom_date,bloom_doyA,month,meantemp,Jan_max,tmin1,precip1,Feb_max,tmin2,precip2,latdata,longdata,altdata,datasource
vancouver,49.2236916,-123.1636251,24,1958,NA,NA,2,7.2,8.4,2.4,NA,10.4,4.1,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,1959,NA,NA,2,3.4,7.2,0.1,NA,6.9,0,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,1979,NA,NA,2,3.7,NA,NA,NA,7.7,-0.4,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,1980,NA,NA,2,5.2,NA,NA,NA,8.6,1.8,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2014,NA,NA,2,2.5,6.8,1.8,NA,5.6,-0.5,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2015,NA,NA,2,7.4,8.3,2.9,NA,10.4,4.4,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2016,NA,NA,2,7.1,7.7,1.6,NA,10.1,4.1,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2017,NA,NA,2,3.1,5.1,-1.3,NA,6.3,-0.1,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2018,NA,NA,2,3.4,7.5,3.1,NA,6.1,0.6,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2019,NA,NA,2,0.4,7.9,2.1,NA,3.8,-3,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2020,NA,NA,2,4.7,7.1,2.2,NA,7.6,1.8,NA,49.2,-123.1833,4,vancouver_INT
vancouver,49.2236916,-123.1636251,24,2021,NA,NA,2,3.4,NA,NA,NA,6.1,0.7,NA,49.2,-123.1833,4,vancouver_INT
