location,lat,long,alt,year,bloom_date,bloom_doy
washingtondc,38.8853496,-77.0386278,0,1921,20/03/1921,80
washingtondc,38.8853496,-77.0386278,0,1922,7/04/1922,98
washingtondc,38.8853496,-77.0386278,0,1923,9/04/1923,100
washingtondc,38.8853496,-77.0386278,0,1924,13/04/1924,105
washingtondc,38.8853496,-77.0386278,0,1925,27/03/1925,87
washingtondc,38.8853496,-77.0386278,0,1926,11/04/1926,102
washingtondc,38.8853496,-77.0386278,0,1927,20/03/1927,80
washingtondc,38.8853496,-77.0386278,0,1928,8/04/1928,100
washingtondc,38.8853496,-77.0386278,0,1929,31/03/1929,91
washingtondc,38.8853496,-77.0386278,0,1930,1/04/1930,92
washingtondc,38.8853496,-77.0386278,0,1931,11/04/1931,102
washingtondc,38.8853496,-77.0386278,0,1932,15/04/1932,107
washingtondc,38.8853496,-77.0386278,0,1933,9/04/1933,100
washingtondc,38.8853496,-77.0386278,0,1934,15/04/1934,106
washingtondc,38.8853496,-77.0386278,0,1935,1/04/1935,92
washingtondc,38.8853496,-77.0386278,0,1936,7/04/1936,99
washingtondc,38.8853496,-77.0386278,0,1937,14/04/1937,105
washingtondc,38.8853496,-77.0386278,0,1938,25/03/1938,85
washingtondc,38.8853496,-77.0386278,0,1939,30/03/1939,90
washingtondc,38.8853496,-77.0386278,0,1940,13/04/1940,105
washingtondc,38.8853496,-77.0386278,0,1941,12/04/1941,103
washingtondc,38.8853496,-77.0386278,0,1942,5/04/1942,96
washingtondc,38.8853496,-77.0386278,0,1943,4/04/1943,95
washingtondc,38.8853496,-77.0386278,0,1944,9/04/1944,101
washingtondc,38.8853496,-77.0386278,0,1945,20/03/1945,80
washingtondc,38.8853496,-77.0386278,0,1946,23/03/1946,83
washingtondc,38.8853496,-77.0386278,0,1947,12/04/1947,103
washingtondc,38.8853496,-77.0386278,0,1948,28/03/1948,89
washingtondc,38.8853496,-77.0386278,0,1949,29/03/1949,89
washingtondc,38.8853496,-77.0386278,0,1950,9/04/1950,100
washingtondc,38.8853496,-77.0386278,0,1951,6/04/1951,97
washingtondc,38.8853496,-77.0386278,0,1952,9/04/1952,101
washingtondc,38.8853496,-77.0386278,0,1953,27/03/1953,87
washingtondc,38.8853496,-77.0386278,0,1954,6/04/1954,97
washingtondc,38.8853496,-77.0386278,0,1955,2/04/1955,93
washingtondc,38.8853496,-77.0386278,0,1956,6/04/1956,98
washingtondc,38.8853496,-77.0386278,0,1957,8/04/1957,99
washingtondc,38.8853496,-77.0386278,0,1958,18/04/1958,109
washingtondc,38.8853496,-77.0386278,0,1959,6/04/1959,97
washingtondc,38.8853496,-77.0386278,0,1960,14/04/1960,106
washingtondc,38.8853496,-77.0386278,0,1961,2/04/1961,93
washingtondc,38.8853496,-77.0386278,0,1962,7/04/1962,98
washingtondc,38.8853496,-77.0386278,0,1963,3/04/1963,94
washingtondc,38.8853496,-77.0386278,0,1964,11/04/1964,103
washingtondc,38.8853496,-77.0386278,0,1965,15/04/1965,106
washingtondc,38.8853496,-77.0386278,0,1966,5/04/1966,96
washingtondc,38.8853496,-77.0386278,0,1967,6/04/1967,97
washingtondc,38.8853496,-77.0386278,0,1968,30/03/1968,91
washingtondc,38.8853496,-77.0386278,0,1969,9/04/1969,100
washingtondc,38.8853496,-77.0386278,0,1970,16/04/1970,107
washingtondc,38.8853496,-77.0386278,0,1971,8/04/1971,99
washingtondc,38.8853496,-77.0386278,0,1972,11/04/1972,103
washingtondc,38.8853496,-77.0386278,0,1973,11/04/1973,102
washingtondc,38.8853496,-77.0386278,0,1974,3/04/1974,94
washingtondc,38.8853496,-77.0386278,0,1975,3/04/1975,94
washingtondc,38.8853496,-77.0386278,0,1976,23/03/1976,84
washingtondc,38.8853496,-77.0386278,0,1977,26/03/1977,86
washingtondc,38.8853496,-77.0386278,0,1978,12/04/1978,103
washingtondc,38.8853496,-77.0386278,0,1979,2/04/1979,93
washingtondc,38.8853496,-77.0386278,0,1980,6/04/1980,98
washingtondc,38.8853496,-77.0386278,0,1981,3/04/1981,94
washingtondc,38.8853496,-77.0386278,0,1982,7/04/1982,98
